,Restaurant_id,Food Rating,Service Rating,Value Rating,Atmosphere Rating,Meals
95,id_3703,,,,,
96,id_3412,,,,,
97,id_538,4.5,4.0,4.0,4.5,"Breakfast, Lunch, Dinner"
98,id_1435,4.0,4.0,4.5,,Dinner
99,id_1837,4.0,4.5,3.5,,"Dinner, Lunch"
100,id_2904,,,,,
101,id_2040,,,,,
102,id_1409,5.0,5.0,4.5,,"Dinner, Lunch, Drinks"
103,id_197,4.0,4.0,4.0,,"Lunch, Dinner, Late Night"
104,id_3341,,,,,
105,id_1940,,,,,
106,id_2926,,,,,
107,id_8240,,,,,
108,id_2047,,,,,
109,id_4591,3.0,3.0,3.5,,"Breakfast, Lunch, Brunch, Dinner"
110,id_4278,,,,,
111,id_5296,,,,,Dinner
112,id_5,4.5,4.0,4.0,4.0,
113,id_6011,3.5,3.5,4.0,3.5,"Lunch, Dinner"
114,id_678,,,,,
115,id_886,,,,,"Lunch, Dinner"
116,id_4633,4.5,3.5,5.0,3.0,"Dinner, Lunch"
117,id_3436,4.0,3.5,3.5,,
118,id_1508,,,,,
119,id_11602,4.0,3.5,3.0,,"Lunch, Dinner"
120,id_2769,3.5,3.5,3.5,3.0,
121,id_4116,4.0,3.5,4.0,,
122,id_198,4.0,4.0,3.5,4.5,
123,id_3015,3.5,3.5,3.0,3.0,
124,id_1655,,,,,
125,id_2858,4.0,4.0,4.0,3.5,
126,id_2423,4.0,3.5,3.5,3.5,
127,id_10343,3.5,3.5,4.0,,"Lunch, Dinner"
128,id_8449,3.0,3.0,3.0,3.5,"Breakfast, Lunch, Dinner, Brunch, Drinks, Late Night"
129,id_9009,4.0,3.0,3.0,,
130,id_1251,,,,,"Lunch, Breakfast, Brunch"
131,id_7472,,,,,
132,id_6583,4.5,4.5,4.5,4.5,"Breakfast, Lunch, Brunch"
133,id_873,,,,,"Breakfast, Lunch, Dinner"
134,id_270,4.5,4.5,4.0,,
135,id_237,,,,,
136,id_4653,,,,,
137,id_820,,,,,
138,id_1722,,,,,Dinner
139,id_86,,,,,
140,id_2044,,,,,
141,id_4157,4.0,4.0,3.5,3.5,
142,id_14612,2.0,2.5,2.5,,
143,id_5080,,,,,
144,id_4505,,,,,
145,id_8121,,,,,
146,id_4429,,,,,
147,id_4110,,,,,"Breakfast, Lunch, Dinner"
148,id_746,,,,,
149,id_229,4.0,4.0,3.5,3.5,
150,id_810,,,,,
151,id_14996,3.0,3.0,3.0,3.5,"Breakfast, Lunch"
152,id_5206,4.5,5.0,4.5,,
153,id_4519,3.5,3.0,3.5,3.0,"Lunch, Dinner, Late Night"
154,id_252,4.0,4.5,4.0,,Breakfast
155,id_8993,4.5,4.5,4.5,4.0,Lunch
156,id_1280,,,,,
157,id_770,,,,,
158,id_2458,,,,,
159,id_719,4.5,4.5,4.0,4.0,"Dinner, Late Night"
160,id_1945,,,,,
161,id_3501,,,,,
162,id_1141,,,,,
163,id_318,4.5,4.5,4.0,4.5,
164,id_1370,,,,,
165,id_697,,,,,
166,id_211,4.5,4.5,4.5,4.0,
167,id_8305,,,,,
168,id_1539,5.0,4.5,4.0,,
169,id_11299,3.5,4.0,3.5,,"Lunch, Breakfast, Dinner, Drinks"
170,id_249,4.0,4.0,3.5,4.0,Dinner
171,id_1976,4.0,4.0,4.0,3.5,"Lunch, Dinner, Late Night"
172,id_3233,4.0,4.0,3.0,,"Lunch, Dinner"
173,id_3803,4.5,4.5,4.5,,"Dinner, Lunch"
174,id_2044,,,,,"Lunch, Dinner"
175,id_4073,4.0,3.5,3.5,,"Lunch, Dinner, Drinks"
176,id_1856,,,,,
177,id_13850,,,,,
178,id_1773,4.0,4.0,4.0,,"Dinner, Lunch"
179,id_482,4.5,4.0,4.0,3.0,Dinner
180,id_5023,,,,,
181,id_3552,2.5,3.0,2.5,,
182,id_13563,,,,,"Lunch, Dinner"
183,id_3566,,,,,
184,id_10665,5.0,4.5,4.5,,"Lunch, Dinner"
185,id_2660,4.0,4.5,4.0,,
186,id_2681,,,,,"Breakfast, Lunch, Dinner"
187,id_2847,,,,,
188,id_3053,4.0,4.0,3.5,3.5,"Lunch, Dinner, Drinks"
189,id_2137,,,,,
190,id_529,4.5,4.5,4.0,4.0,
191,id_412,4.0,4.5,4.0,3.5,
192,id_1151,4.5,4.0,4.0,3.5,"Late Night, Drinks"
193,id_8,4.5,4.5,4.0,,"Breakfast, Lunch, Dinner, Brunch"
194,id_7672,4.0,4.0,4.0,4.0,"Dinner, Lunch"
195,id_1524,4.0,3.0,4.0,,"Lunch, Dinner"
196,id_984,4.5,4.0,3.5,4.0,"Lunch, Dinner, Late Night"
197,id_636,,,,,
198,id_2491,4.0,4.5,4.0,,
199,id_16034,,,,,
200,id_1475,4.5,4.0,4.0,4.0,
201,id_72,,,,,
202,id_7996,,,,,
203,id_3031,4.0,4.0,3.5,,"Lunch, Dinner, Drinks, Breakfast, Brunch"
204,id_1810,4.0,4.0,4.0,,
205,id_451,3.5,3.5,3.0,3.5,"Lunch, Dinner, Late Night"
206,id_304,4.0,4.0,4.5,,
207,id_1921,4.0,4.0,4.0,,"Lunch, Dinner"
208,id_941,3.5,3.5,3.5,,
209,id_3022,4.5,4.0,4.0,4.0,"Lunch, Dinner"
210,id_716,,,,,
211,id_8588,4.0,4.0,4.0,4.0,"Lunch, Dinner"
212,id_14134,4.0,4.0,4.0,3.5,
213,id_2575,4.0,3.5,3.5,3.5,"Lunch, Dinner"
214,id_10876,4.0,4.0,3.5,4.5,Dinner
215,id_1246,4.0,4.0,4.0,,Dinner
216,id_2273,4.0,4.0,4.5,,"Dinner, Lunch"
217,id_13892,,,,,"Lunch, Drinks"
218,id_313,4.5,4.0,4.0,,"Lunch, Dinner"
219,id_6382,,,,,
220,id_2074,,,,,
221,id_2617,,,,,
222,id_1000,4.5,,5.0,,"Breakfast, Lunch, Dinner, Brunch"
223,id_2355,,,,,
224,id_4777,4.0,4.5,4.0,4.5,Drinks
225,id_1010,,,,,"Dinner, Lunch"
226,id_12302,3.0,4.5,3.5,,Dinner
227,id_342,4.0,4.5,4.0,,
228,id_2946,,,,,
229,id_4196,,,,,"Breakfast, Lunch, Dinner"
230,id_4920,,,,,"Breakfast, Brunch, Lunch, Dinner"
231,id_3556,4.5,4.5,4.5,,"Lunch, Dinner"
232,id_1239,4.0,4.0,4.0,4.0,"Lunch, Dinner, Late Night"
233,id_5042,4.5,4.5,4.0,,
234,id_3652,2.0,2.0,1.5,2.5,"Late Night, Drinks"
235,id_4598,,,,,
236,id_4706,3.5,3.5,3.5,4.0,"Lunch, Dinner, Late Night"
237,id_20,4.5,4.5,4.5,4.5,
238,id_4670,,,,,
239,id_384,4.5,4.5,4.5,,Dinner
240,id_3582,,5.0,4.5,,"Late Night, Drinks, Breakfast, Lunch, Brunch"
241,id_5183,,,,,
242,id_960,5.0,4.5,5.0,,
243,id_1132,4.5,4.5,4.0,4.5,"Lunch, Dinner, Late Night"
244,id_5357,,,,,
245,id_2961,,,,,
246,id_13074,,,,,
247,id_2410,,,,,"Breakfast, Lunch, Dinner"
248,id_778,,,,,
249,id_11432,3.5,3.5,3.5,,
250,id_1464,4.0,4.0,3.5,4.0,
251,id_987,4.0,4.0,4.0,,"Lunch, Dinner"
252,id_12703,3.0,3.0,3.0,2.5,"Lunch, Breakfast, Late Night, Drinks"
253,id_1339,,,,,
254,id_13695,,,,,
255,id_2155,3.0,4.0,3.5,,Breakfast
256,id_2361,4.0,3.5,4.0,4.0,"Lunch, Dinner"
257,id_128,4.0,4.0,4.0,4.5,"Lunch, Dinner"
258,id_50,4.5,4.5,4.5,4.5,
259,id_12381,,,,,Dinner
260,id_6720,,,,,
261,id_1115,5.0,4.5,4.5,,"Lunch, Dinner"
262,id_7075,,,,,"Breakfast, Lunch, Dinner"
263,id_12045,,,,,"Drinks, Lunch, Dinner, Brunch"
264,id_7226,5.0,4.5,5.0,,"Lunch, Breakfast, Dinner, Brunch"
265,id_3037,4.0,4.0,4.0,,"Lunch, Dinner"
266,id_1244,4.0,3.5,4.0,3.0,"Lunch, Dinner"
267,id_813,,,,,
268,id_1200,,,,,
269,id_6114,,,,,
270,id_13354,4.0,4.0,4.5,4.0,"Breakfast, Lunch, Dinner"
271,id_773,,,,,
272,id_961,,,,,
273,id_1341,3.5,3.0,4.5,3.0,"Lunch, Dinner"
274,id_6536,4.0,3.5,3.5,4.5,"Lunch, Dinner, Late Night"
275,id_4618,,,,,
276,id_330,4.0,4.0,3.5,,
277,id_5055,,,,,"Breakfast, Lunch, Dinner"
278,id_3462,,,,,"Breakfast, Lunch, Dinner, Brunch"
279,id_1539,4.0,4.0,3.5,3.5,Dinner
280,id_7038,3.5,3.5,3.5,4.0,"Lunch, Dinner, Late Night, Drinks"
281,id_12089,4.0,4.5,3.5,,Dinner
282,id_3327,4.5,4.0,4.0,3.5,"Dinner, Lunch, Late Night"
283,id_8560,4.5,4.5,4.5,,
284,id_4367,4.5,4.5,4.5,4.5,
285,id_1541,,,,,
286,id_3191,4.5,4.5,4.5,4.5,
287,id_1780,4.5,4.5,4.5,,"Breakfast, Brunch"
288,id_2734,,,,,
289,id_31,4.5,5.0,4.5,4.5,
290,id_5926,4.0,4.0,4.0,3.5,"Lunch, Dinner"
291,id_13175,3.0,3.0,3.0,3.5,Dinner
292,id_6678,3.0,2.5,3.0,,"Lunch, Dinner, Drinks"
293,id_639,4.0,4.0,4.5,5.0,
294,id_173,4.0,3.5,4.0,3.5,"Lunch, Dinner, Late Night"
295,id_3914,,,,,
296,id_5738,4.0,4.0,3.5,3.0,"Lunch, Dinner"
297,id_2288,,,,,
298,id_1040,,,,,"Dinner, Drinks"
299,id_1611,4.0,4.0,3.5,4.0,
300,id_914,4.0,4.0,4.0,4.0,"Lunch, Dinner, Brunch"
301,id_1272,4.0,4.0,3.0,4.0,"Lunch, Dinner, Late Night"
302,id_9572,,,,,"Lunch, Breakfast, Dinner"
303,id_538,4.0,4.0,3.5,4.0,"Dinner, Lunch"
304,id_2255,3.5,3.5,3.5,,Dinner
305,id_1201,4.0,4.5,3.5,,Dinner
306,id_3891,,,,,
307,id_13199,,,,,
308,id_332,4.5,4.5,4.5,,
309,id_3896,4.0,4.5,4.0,,
310,id_530,4.5,4.5,4.0,4.0,"Lunch, Dinner"
311,id_438,4.5,4.0,4.5,4.0,"Breakfast, Brunch"
312,id_1033,4.5,4.5,4.0,,
313,id_956,,,,,
314,id_1268,3.5,3.5,4.0,3.5,Lunch
315,id_14403,,,,,
316,id_1698,,,,,
317,id_283,3.5,4.0,4.0,,
318,id_460,4.0,4.5,4.0,4.5,"Lunch, Dinner"
319,id_1257,4.0,4.5,4.0,4.0,"Lunch, Dinner, Late Night"
320,id_3243,,,,,
321,id_1168,4.0,3.5,3.5,,"Lunch, Dinner"
322,id_5916,4.5,4.0,4.0,,Dinner
323,id_3302,,,,,
324,id_377,4.0,3.5,3.5,4.0,"Dinner, Lunch"
325,id_1712,,,,,
326,id_2185,,,,,"Lunch, Dinner"
327,id_1686,,,,,
328,id_1754,4.0,4.0,3.5,3.5,
329,id_702,4.0,4.5,4.0,,"Lunch, Dinner"
330,id_1533,4.5,4.5,4.5,4.5,"Lunch, Dinner"
331,id_684,4.0,4.0,3.5,2.5,"Breakfast, Lunch, Dinner"
332,id_2111,4.0,4.5,4.0,3.5,"Lunch, Dinner"
333,id_2171,,,,,
334,id_206,5.0,4.5,4.5,,
335,id_7701,3.5,3.5,4.0,3.0,"Dinner, Lunch"
336,id_540,,,,,
337,id_1228,4.0,4.0,4.0,,"Lunch, Dinner, Drinks, Late Night"
338,id_3244,4.0,4.0,3.5,4.0,"Lunch, Dinner, Drinks"
339,id_3998,4.0,4.0,4.0,3.5,"Dinner, Lunch"
340,id_1208,4.5,4.0,4.5,,
341,id_1925,,,,,
342,id_12014,4.0,3.5,3.0,3.5,"Breakfast, Lunch, Dinner"
343,id_1608,4.5,4.0,4.0,4.0,
344,id_45,4.5,4.0,4.0,4.5,
345,id_2041,3.5,3.5,3.5,3.5,"Lunch, Dinner"
346,id_6690,3.5,3.0,3.5,3.5,"Lunch, Dinner"
347,id_480,,,,,
348,id_1313,,,,,
349,id_1010,,,,,
350,id_1334,,,,,
351,id_7657,2.0,2.0,2.0,,
352,id_73,4.5,4.5,4.5,4.0,
353,id_3625,3.5,4.0,3.5,3.5,"Lunch, Dinner, Late Night"
354,id_1630,,,,,
355,id_299,4.0,3.5,4.0,3.5,
356,id_1069,5.0,5.0,5.0,,"Lunch, Dinner"
357,id_400,4.0,4.0,3.5,,
358,id_2465,4.5,4.5,4.0,4.0,"Lunch, Dinner"
359,id_459,4.5,4.0,3.5,4.0,
360,id_14074,3.5,3.5,3.0,3.5,Lunch
361,id_3221,4.0,4.0,3.5,4.0,"Lunch, Dinner"
362,id_4693,,,,,
363,id_981,4.0,4.5,4.0,,Breakfast
364,id_4452,,,,,
365,id_322,4.0,4.0,3.5,4.0,
366,id_4481,3.5,3.0,3.0,3.0,
367,id_7992,2.5,2.5,3.0,,"Lunch, Dinner"
368,id_8811,3.0,3.0,3.0,,"Breakfast, Lunch, Dinner, Drinks"
369,id_8227,,,,,
370,id_8834,,,,,"Breakfast, Lunch, Dinner, Brunch, Drinks"
371,id_402,4.0,4.0,4.0,4.0,"Lunch, Dinner, Late Night"
372,id_5781,,,,,"Breakfast, Lunch, Dinner"
373,id_1414,4.0,3.5,4.0,3.5,"Lunch, Dinner, Late Night"
374,id_1583,4.0,4.5,4.5,,Dinner
375,id_4549,3.5,3.5,3.5,,"Dinner, Lunch"
376,id_6811,,,,,
377,id_4294,4.0,4.5,4.0,4.5,"Breakfast, Lunch, Dinner"
378,id_191,4.0,4.5,3.5,,Dinner
379,id_1905,,,,,
380,id_4092,4.0,4.5,4.0,,"Lunch, Dinner"
381,id_1857,,,,,"Lunch, Dinner"
382,id_5177,4.0,4.0,5.0,3.5,"Lunch, Dinner"
383,id_7986,4.5,4.5,4.5,4.0,"Breakfast, Lunch, Brunch"
384,id_12449,,,,,"Breakfast, Lunch, Dinner"
385,id_7510,,,,,
386,id_111,,,,,
387,id_908,,,,,
388,id_7665,3.5,3.5,3.5,3.0,"Lunch, Dinner, Late Night"
389,id_2866,4.5,4.5,4.5,,
390,id_6149,4.0,4.0,3.5,4.0,"Lunch, Dinner"
391,id_986,4.0,4.0,3.5,4.0,
392,id_1536,4.0,3.5,4.5,,"Dinner, Lunch"
393,id_2473,4.5,4.5,4.5,4.0,
394,id_1989,4.0,3.0,3.5,3.0,"Lunch, Dinner"
395,id_6607,4.0,4.0,4.0,4.5,Drinks
396,id_5109,,,,,
397,id_1254,4.0,3.0,3.0,3.0,"Lunch, Dinner"
398,id_1741,,,,,
399,id_29,,,,,
400,id_451,4.5,5.0,4.5,,"Lunch, Dinner"
401,id_1842,4.0,4.5,4.0,,"Lunch, Dinner"
402,id_245,4.0,3.5,3.5,,
403,id_2778,,,,,
404,id_152,4.5,3.5,4.0,3.5,"Lunch, Dinner"
405,id_1651,,,,,
406,id_2224,4.0,4.5,4.0,4.5,"Lunch, Dinner, Late Night"
407,id_5560,4.0,4.0,4.5,4.0,
408,id_8464,4.5,4.0,4.5,,"Lunch, Dinner, Breakfast"
409,id_459,4.5,4.0,4.5,,"Breakfast, Lunch, Brunch"
410,id_4090,4.0,3.5,3.5,4.5,Dinner
411,id_1346,4.0,4.5,4.0,,
412,id_9877,3.5,3.0,3.0,,"Lunch, Dinner"
413,id_9010,4.5,4.0,4.0,,
414,id_729,4.5,4.0,4.0,4.0,"Lunch, Dinner"
415,id_773,,,,,
416,id_7686,,,,,Dinner
417,id_3631,,,,,"Breakfast, Lunch, Drinks"
418,id_12364,,,,,"Lunch, Dinner"
419,id_5908,,,,,"Lunch, Dinner"
420,id_317,4.5,4.5,4.5,4.0,
421,id_1374,4.0,4.0,3.5,4.0,"Breakfast, Dinner, Lunch, Brunch"
422,id_213,,,,,
423,id_2259,,,,,"Breakfast, Lunch, Dinner"
424,id_1403,,,,,
425,id_2783,,,,,
426,id_1815,3.5,3.0,3.5,3.5,
427,id_3479,,,,,"Lunch, Dinner"
428,id_1619,4.5,4.5,4.5,4.0,
429,id_6207,4.0,4.0,3.5,,"Lunch, Dinner"
430,id_257,,,,,
431,id_3669,,,,,
432,id_216,4.5,4.5,4.5,,
433,id_3995,,,,,
434,id_7028,3.5,3.5,3.0,4.0,"Lunch, Late Night"
435,id_6874,,,,,"Breakfast, Lunch, Dinner"
436,id_5013,3.5,3.5,3.0,3.0,"Lunch, Dinner"
437,id_3695,3.5,3.5,3.5,4.0,"Lunch, Dinner, Late Night"
438,id_2469,,,,,
439,id_6092,4.0,3.0,4.0,,Dinner
440,id_12287,,,,,
441,id_2928,4.5,4.5,4.0,4.5,"Lunch, Dinner, Drinks"
442,id_2042,,,,,
443,id_5139,,,,,Lunch
444,id_1381,,,,,
445,id_156,4.0,4.0,4.0,4.0,
446,id_7999,,,,,
447,id_8559,,,,,
448,id_12824,,,,,
449,id_13478,3.0,3.5,2.5,,
450,id_8524,,,,,
451,id_885,4.0,3.5,3.5,4.0,
452,id_1751,4.5,4.5,4.0,4.5,"Lunch, Dinner"
453,id_862,4.0,4.0,4.0,3.5,"Lunch, Dinner, Late Night"
454,id_3732,4.0,3.5,4.0,3.5,
455,id_6183,3.5,3.5,3.0,3.5,"Breakfast, Lunch, Dinner"
456,id_6610,,,,,
457,id_2476,5.0,5.0,5.0,,
458,id_6803,,,,,
459,id_939,,,,,
460,id_482,5.0,4.5,4.5,,Dinner
461,id_4180,4.5,4.5,4.0,,Dinner
462,id_2664,4.5,4.5,4.0,4.0,"Dinner, Lunch"
463,id_4166,4.0,3.0,3.5,3.0,
464,id_717,4.0,4.0,3.5,4.0,"Lunch, Dinner"
465,id_11082,3.5,4.0,3.5,3.5,"Breakfast, Lunch, Dinner"
466,id_4406,,,,,
467,id_724,,,,,
468,id_9200,,,,,
469,id_7423,3.0,3.0,3.0,2.5,"Lunch, Dinner"
470,id_4746,5.0,5.0,4.5,,"Breakfast, Lunch, Dinner"
471,id_944,,,,,
472,id_6016,,,,,"Lunch, Dinner"
473,id_8038,,,,,
474,id_356,4.5,4.5,4.5,,"Lunch, Dinner, Brunch"
475,id_6684,,,,,
476,id_1243,,,,,
477,id_1430,,,,,
478,id_900,,,,,
479,id_12473,2.5,3.0,3.5,,"Lunch, Dinner"
480,id_14925,,,,,
481,id_9466,,,,,
482,id_1994,4.0,3.5,3.5,4.0,"Breakfast, Lunch"
483,id_1401,3.5,4.0,3.5,4.0,"Lunch, Dinner, Late Night"
484,id_163,4.0,4.0,4.5,3.5,"Lunch, Dinner, Brunch"
485,id_615,4.0,4.5,4.0,,
486,id_1971,4.0,4.0,4.0,,"Dinner, Lunch"
487,id_3658,,,,,
488,id_7083,4.5,4.5,4.5,,"Lunch, Dinner"
489,id_739,4.5,4.0,4.5,4.5,"Lunch, Dinner"
490,id_13337,2.5,2.0,2.5,,"Lunch, Dinner"
491,id_7270,4.0,3.5,3.5,4.0,"Lunch, Dinner, Late Night"
492,id_6004,,,,,Dinner
493,id_301,,,,,
494,id_1880,,,,,Dinner
495,id_2480,4.5,4.5,4.5,4.0,
496,id_918,,,,,
497,id_1213,,,,,
498,id_56,4.0,4.0,4.0,4.5,
499,id_1646,4.0,3.5,3.5,,
500,id_573,4.5,4.0,4.0,4.0,
501,id_8019,,,,,
502,id_11134,4.5,4.5,4.0,,"Breakfast, Lunch, Brunch"
503,id_6492,,,,,"Breakfast, Lunch, Dinner"
504,id_3917,3.5,3.5,3.5,3.5,"Lunch, Dinner"
505,id_13159,3.0,3.5,3.0,,Lunch
506,id_10781,4.5,4.0,4.5,4.0,
507,id_311,4.5,4.5,4.5,,
508,id_12587,,,,,
509,id_12622,,,,,Dinner
510,id_9406,,,,,
511,id_4310,4.0,4.5,4.0,3.5,
512,id_11560,3.5,3.5,3.5,4.0,"Lunch, Dinner, Late Night"
513,id_6315,,,,,
514,id_7335,,,,,
515,id_214,4.0,4.0,3.5,4.5,
516,id_1952,3.5,3.5,3.5,,Breakfast
517,id_7385,,,,,
518,id_3604,,,,,"Breakfast, Drinks, Lunch, Dinner"
519,id_7415,4.5,4.0,5.0,,Dinner
520,id_1530,4.5,4.5,4.0,5.0,"Lunch, Dinner"
521,id_6234,4.0,4.0,3.5,,"Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks"
522,id_64,4.5,4.5,4.5,4.5,
523,id_270,4.0,4.0,4.0,4.0,
524,id_11407,,,,,
525,id_1714,,,,,
526,id_7809,4.5,4.5,4.0,,Dinner
527,id_85,4.5,4.5,4.0,4.5,
528,id_991,4.0,4.5,4.0,,
529,id_1391,,,,,"Breakfast, Lunch, Dinner"
530,id_2825,3.0,2.5,2.5,3.0,"Lunch, Dinner"
531,id_1571,4.0,4.0,4.0,,"Lunch, Dinner"
532,id_1133,3.5,3.5,3.5,3.0,"Dinner, Lunch"
533,id_5098,,,,,
534,id_707,4.0,4.0,4.0,4.5,"Lunch, Dinner, Late Night, Drinks"
535,id_3966,3.5,4.0,3.5,,"Lunch, Dinner"
536,id_5503,,,,,
537,id_4432,,,,,
538,id_15279,3.5,4.0,4.0,,"Lunch, Dinner"
539,id_8120,,,,,
540,id_3052,,,,,
541,id_4,4.5,5.0,4.5,,
542,id_850,,,,,
543,id_7761,,,,,
544,id_4845,4.0,3.5,4.0,3.5,"Lunch, Dinner, Brunch, Breakfast, Late Night"
545,id_883,4.5,4.5,3.5,,
546,id_85,4.5,4.5,4.0,4.5,
547,id_393,3.5,4.0,3.5,4.0,"Breakfast, Lunch, Dinner, Brunch"
548,id_1971,4.5,4.5,5.0,,"Lunch, Dinner"
549,id_239,4.5,4.5,4.5,,
550,id_317,4.5,4.0,4.5,4.0,
551,id_1639,4.0,4.0,4.0,4.0,"Breakfast, Lunch, Brunch"
552,id_3909,,,,,
553,id_4742,,,,,
554,id_400,,,,,
555,id_9103,4.0,4.0,4.0,4.0,"Breakfast, Lunch, Dinner, Drinks"
556,id_846,3.5,4.0,4.0,3.5,
557,id_9347,,,,,
558,id_788,4.0,4.0,4.0,4.0,"Lunch, Dinner"
559,id_4541,,,,,"Breakfast, Lunch, Dinner"
560,id_1776,,,,,"Lunch, Dinner"
561,id_10177,4.5,4.0,4.5,4.0,"Dinner, Lunch"
562,id_5673,,,,,
563,id_1745,4.0,4.0,3.5,,
564,id_1300,4.5,4.5,4.5,,"Breakfast, Lunch, Brunch"
565,id_5329,,,,,
566,id_6338,3.5,4.0,4.0,4.0,"Breakfast, Lunch, Dinner, Late Night, Drinks"
567,id_194,4.0,4.0,4.0,4.0,
568,id_2198,3.5,4.0,4.0,4.5,"Dinner, Late Night, Drinks"
569,id_2792,4.0,4.0,4.0,3.0,"Lunch, Late Night"
570,id_395,4.5,4.5,4.5,4.0,
571,id_293,4.0,4.0,4.0,4.5,
572,id_1820,3.5,3.5,4.0,3.5,
573,id_8453,,,,,
574,id_1323,3.5,3.5,3.0,3.0,Lunch
575,id_194,,,,,
576,id_2224,4.0,4.0,3.5,3.5,"Lunch, Dinner"
577,id_393,4.0,4.0,4.0,4.5,
578,id_3260,5.0,5.0,5.0,,
579,id_452,4.5,4.5,4.5,,"Lunch, Brunch, Dinner, Breakfast, Late Night"
